name,prompt,negative_prompt
蒂法,<lora:tifaLockhartAllOutfits_v1:0.6>,
蒂法情趣睡裙,"<lora:tifaLockhartAllOutfits_v1:0.6>, ((dress)), tifa lockhart's refined dress, underwear",
抹胸,"<lora:chestSarashi_chestSarashiV2:1.2>,(hands visible,fingers visible:2)",
提衣服,"<lora:shirtliftALORAFor_shirtliftv1:1>,(hands visible,fingers visible:1.2)",
脱裤子,"<lora:pantypull-1-0021:1>""",
提衣服脱裤子,<lora:pantyPullClothesPull_v10:1>,
张腿看B,"<lora:inniesBetterVulva_v11:0.5>", pussy
更佳的果体1,"<lora:nudify_v12:0.35>, nude, naked",
更佳的果体2(更自然一点),"<lora:pfg_111_lora:0.35>, nude, naked",
精液,"<lora:instantCumshot_v1:1.1>,cum string:0.8,cumshot:1.5,cum string:0.8,cumshot:1.5,naked,nude",cock:5
颜射(遮罩从胸画到嘴),"<lora:instantCumshot_v1:0.5>,cum on face:0.5",
突点,"<lora:LoraBraless_v11:0.7>, big nipple",
情趣内衣,"sexy lingerie",
后入,"<lora:POVDoggy:0.9>, 1boy, penis, doggystyle, from behind",
foot job,"(penis penetrating pussy)",""
骑乘位,"(legs spread apart:1.4),cowgirl position,full body, slim legs, <lora:inniesBetterVulva_v11:0.5>, (thin thighs:1.32), Beautiful thighs,((wide angle)), (vaginal), pov, pussy, ((Sexual intercourse)), ((Sexual penetration)), hetero", ""
女上位被日,"getting fucked by a guy,((penis)),((1girl above 1man)), ((1man below 1girl)), <lora:inniesBetterVulva_v11:0.3>",""
双手握屌,"<lora:doubledick_v10:1>,(a woman holding two dicks,2men,squatting)",""
手撑蹲,"squatting cowgirl position, <lora:inniesBetterVulva_v11:0.5>", ""
手抱头,"Hands on the head, cross hand",""
后入位,"((looking back,focus on butt)),show ass,lens flare,pervert,,full body,((all fours like a dog,top-down bottom-up)),((pussy)), doggystyle,backboob,(butt),ass,anus,thin, <lora:inniesBetterVulva_v11:0.5>",""
回头望,"slim, thin waist,(black panty hose:1.1),(close up:1.5),(view from back:1.5),ass",""
白色学生装,"<lora:ShenzhenUniform_v10:0.4>,(white school uniform:1.2),(blue pleats skirt)",""
hanfu,"hanfu",""
cherryblossom,"cherry blossom","",
邪恶天使,"realistic digital painting portrait of a shiranui flare, (Masterpiece:1.2), best quality, looking at viewer, (delicate details:1.5), lovely black hair, (hell:1.5), (devil:1.5), torn cloth armor with damask and chrome engraving, intricate details, (detailed background), (very detailed skin:1.8), (scarlet hair), pointy hair, (closed eyes), (nude:1.2), skinny, navel, cute, (intricate details), Exquisite details, (disheveled hair), (fantasy), perfect face, (colored skin), ((ruby crystals on body)), (ruby crystals), ((puffy nipples)), (floating crystals), dynamic angle, depth of field, (((scarlet skin))), scarlet slime, cinematic light, best shadow, translucent skin, ((floating)), global illumination, art by hoang lap and fuji choko and artgerm, and greg rutkowski and viktoria gavrilenko, photogenic pose, photogenic expression, symmetry",""
万圣节,"(((1 girl))),hell,((gory environment)),blood on the floor,Lots and lots of blood,severed hand,dismembered body,exploded body,bloody body parts,bloody organs,(red pupils),red eye,red-black hair",""
情趣运动,"slender body, contrapposto, smooth skin, cityscape, Futuristic fashion, outdoor, Streetwear, High-tech fabrics, Racing suit, Fireproof material,Elbow and knee pads,Racing gloves,Personalized embroidery",""
毛衣,"((very oversize sweater, buttoned sweater, open sweater)), collarbone",""
OpenManShirt,"((very oversize shirt, buttoned shirt, open shirt)), (man shirt)",""
空姐制服,"pose, travel attendant, (((airline stewardess uniform))),cleavage, narrow waist,thighhighs,thin legs,(breasts out:1.2),airport,crossed legs","",
吐舌头,"ahegao,<lora:ahegaoRollingEyes_v1114:1>",""
女精灵战士,"((ceremonial armor)), medieval army, [giddy], (ornamental armor with gold trim), ((cleavage)), shouldpads, (crimson cloak), ((burning village background)), full body, red cape, (dark hair), clenched jaw, fantasy art, intricate",""
婚纱,"(bride), wearing wedding dress(white wedding dress, wedding veil, long white gloves, white ribbon, flower, translucent), holding flower",""
机甲,"(detailed clothes features),(bangs:1.1), skin tight, (shiny skin),(slender girl),dreamlike,metal texture,chained,(fantasy armor,luxury armor, heavy armor,metal armor, silver armor, flower patterned armor), (extreme detailed illustration),check commentary,commentary request,scenery,no text,nipples,inside church,stained glass window, straight hair, (upper body:1.1), (crystal pendant:1.1), atheletic body,indoors",""